ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
5334,Poultry Products,"Chicken, broiler, rotisserie, BBQ, thigh, meat only",193,24.09,10.74,0,0,0,13,0.176,0.45,0,0.48,8,5.441,0.234,0.055,13,0.084,0.97,21,0,216,23.1,2,0.01444444,0.10352941,0.1875,0,0.032,0.02,0.3400625,0.18,0.04583333,0.01083333,9.33E-05,0.05,0.30857143,0.42,0.18181818
5128,Poultry Products,"Chicken, stewing, giblets, cooked, simmered",194,25.73,9.3,0.11,0,0,2864,0.41,9.48,5.5,0,367,4.971,1.047,0.09,13,0.299,6.44,20,0.177,223,90.4,4.28,3.18222222,0.24117647,3.95,0.06111111,0,0.9175,0.3106875,0.80538462,0.075,0.01083333,0.00033222,0.04761905,0.31857143,1.64363636,0.38909091
22528,"Meals, Entrees, and Side Dishes","Turkey Pot Pie, frozen entree",176,6.5,8.8,17.7,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22948,"Meals, Entrees, and Side Dishes","SUPPER BAKES MEAL KITS, Savory Pork Chops with herb stuffing (pork chop not included)",181,5.91,1.18,36.64,4.73,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22949,"Meals, Entrees, and Side Dishes","SUPPER BAKES MEAL KITS, Southwestern-Style Chicken w/rice (chicken not included)",189,4.94,1.23,39.51,4.94,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6459,"Soups, Sauces, and Gravies","CAMPBELL'S CHUNKY Soups, Split Pea 'N' Ham Soup",78,4.9,1.02,12.24,2.04,2,0,0,0,1,0,0,0,0,0,8,0,0.59,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0,0,0.006666667,0,0,0,0,0
6971,"Soups, Sauces, and Gravies","Sauce, worcestershire",78,0,0,19.46,10.03,0,5,0,0,13,0.08,8,0.7,0.13,0.07,107,0.2,5.3,13,0,60,0.5,0.19,0.005555556,0,0,0.144444444,0.005333333,0.02,0.04375,0.1,0.058333333,0.089166667,0.000222222,0.030952381,0.085714286,0.009090909,0.017272727
6383,"Soups, Sauces, and Gravies","CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",78,2.04,3.67,9.39,1.25,0.8,0,0,0,0,0,0,0,0,0,16,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0
35166,American Indian/Alaska Native Foods,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",206,35.19,7.26,0,0,0,19,0.182,7.43,0,0.45,4,13.1,0.358,0.021,69,0.148,1.5,39,0.051,350,44.8,1.1,0.021111111,0.107058824,3.095833333,0,0.03,0.01,0.81875,0.275384615,0.0175,0.0575,0.000164444,0.092857143,0.5,0.814545455,0.1
35168,American Indian/Alaska Native Foods,"Fish, salmon, king, with skin, kippered, (Alaska Native)",209,23.19,12.95,0,0,0,12,0.378,3.65,0,0.42,3,8.61,0.201,0.043,55,0.148,0.55,29,0.037,270,30.5,0.77,0.013333333,0.222352941,1.520833333,0,0.028,0.0075,0.538125,0.154615385,0.035833333,0.045833333,0.000164444,0.069047619,0.385714286,0.554545455,0.07
